offer_title,price,price_per_meter,offer_type,floor,area,rooms,offer_type_of_building,market,city_name,voivodeship,month,year,population,longitude,latitude
Nowoczesna kawalerka z winda plus garaż podziemny,255000.0,7285.71,Prywatne,1.0,35.0,1,Blok,pierwotny,Jelcz-Laskowice,Dolnoslaskie,January,2022,15828.0,17.3499638,51.0398306
Apartament z widokiem na port industrialny w Gdyni,369000.0,13666.67,Prywatne,,,1,,pierwotny,Jelenia Góra,Dolnoslaskie,January,2022,84306.0,15.734430599999998,50.9031028
Kawalerka blisko centrum!!! Dobra lokalizacja,217000.0,5710.53,Prywatne,0.0,38.0,1,Kamienica,pierwotny,Jelenia Góra,Dolnoslaskie,January,2022,84306.0,15.734430599999998,50.9031028
Nowa kawalerka z Balkonem/Legnicka/Magnolia,259000.0,10360.0,Firmowe,2.0,25.0,1,Blok,pierwotny,Wrocław,Dolnoslaskie,January,2022,634487.0,17.032668899999997,51.1089776
Kawalerka z balkonem/klucze I kwartał 2022/60 tyś taniej niż u dewelop,269000.0,10275.02,Prywatne,3.0,26.18,1,Apartamentowiec,pierwotny,Wrocław,Dolnoslaskie,January,2022,634487.0,17.032668899999997,51.1089776
40 tys. taniej od dewelopera/Kawalerka/Magnolia/Legnicka,258000.0,9923.08,Firmowe,3.0,26.0,1,Blok,pierwotny,Wrocław,Dolnoslaskie,January,2022,634487.0,17.032668899999997,51.1089776
Sprzedam punkt w Pasazu Zielińskiego,1000.0,100.0,Prywatne,0.0,10.0,1,Pozostałe,pierwotny,Wrocław,Dolnoslaskie,January,2022,634487.0,17.032668899999997,51.1089776
"Bulwary Staromiejskie, kawalerka z balkonem widok na Odrę i park",275900.0,14913.51,Firmowe,4.0,18.5,1,Apartamentowiec,pierwotny,Wrocław,Dolnoslaskie,January,2022,634487.0,17.032668899999997,51.1089776
"Enklawa, nowa kawalerka o powierzchni 33m² na skraju Myślęcinka.",265000.0,7794.12,Prywatne,2.0,34.0,1,Blok,pierwotny,Bydgoszcz,Kujawsko-pomorskie,January,2022,350178.0,18.0002529,53.12196479999999
Sprzedam mieszkanie  26m²,205000.0,7884.62,Prywatne,8.0,26.0,1,Blok,pierwotny,Włocławek,Kujawsko-pomorskie,January,2022,114885.0,19.0720627,52.6605543
Mieszkanie pokoj z kuchnią 33m2 śródmieście ul.POW 21,165000.0,5000.0,Prywatne,1.0,33.0,1,Blok,pierwotny,Włocławek,Kujawsko-pomorskie,January,2022,114885.0,19.0720627,52.6605543
Elektrownia Park Residence - OSTATNIE WOLNE MIESZKANIA,346945.5,6450.0,Firmowe,3.0,53.79,1,Apartamentowiec,pierwotny,Zamość,Kujawsko-pomorskie,January,2022,65255.0,23.2525711,50.7170854
Miszkanie na sprzedaz,185000.0,5138.89,Prywatne,1.0,36.0,1,Blok,pierwotny,Kraśnik,Lubelskie,January,2022,35788.0,22.229206,50.92492360000001
Elektrownia Park Residence - OSTATNIE WOLNE MIESZKANIA,346945.5,6450.0,Firmowe,3.0,53.79,1,Apartamentowiec,pierwotny,Tomaszów Lubelski,Lubelskie,January,2022,19550.0,23.4170362,50.45732879999999
Apartament ul. Walczaka 20A Centrum Gorzowa,198660.0,6000.0,Prywatne,1.0,33.11,1,Apartamentowiec,pierwotny,Gorzów Wielkopolski,Lubuskie,January,2022,124344.0,15.2400451,52.7309926
"Sprzedam/zamienię mieszkanie 37,80m2",190000.0,5026.46,Prywatne,2.0,37.8,1,Blok,pierwotny,Krosno Odrzańskie,Lubuskie,January,2022,11983.0,15.0980258,52.053636100000006
Mieszkania od 28 m2,154000.0,5500.0,Firmowe,0.0,28.0,1,Blok,pierwotny,Strzelce Krajeńskie,Lubuskie,January,2022,10109.0,15.532592499999998,52.8785255
"Mieszkanie 29,9m2 + balkon + ogródek-45m2",180895.0,6050.0,Firmowe,0.0,29.9,1,Apartamentowiec,pierwotny,Kutno,Łódzkie,January,2022,45657.0,19.3570182,52.2317559
"Kawalerka 29,9m2 z balkonem! Lawenda-kolejny etap!",169832.0,5680.0,Firmowe,3.0,29.9,1,Apartamentowiec,pierwotny,Kutno,Łódzkie,January,2022,45657.0,19.3570182,52.2317559
"Mieszkanie 29,9m2 + taras,ogródek,balkon - 130,6m2! oddanie 2023r",194350.0,6500.0,Firmowe,0.0,29.9,1,Apartamentowiec,pierwotny,Kutno,Łódzkie,January,2022,45657.0,19.3570182,52.2317559
Sprzedam mieszkanie własnościowe.,193000.0,7148.15,Prywatne,4.0,27.0,1,Blok,pierwotny,Ozorków,Łódzkie,January,2022,20175.0,19.2918111,51.9636101
Mieszkanie 25 m2 w nowej atrakcyjnej inwestycji LEVITYN,175000.0,7000.0,Firmowe,3.0,25.0,1,Apartamentowiec,pierwotny,Pabianice,Łódzkie,January,2022,67688.0,19.3535024,51.6639859
"Nowe jednopokojowe mieszkanie- studio-Piotrków Tryb,ul. Nowy Świat 3",190710.0,6500.0,Firmowe,1.0,29.34,1,Blok,pierwotny,Piotrków Trybunalski,Łódzkie,January,2022,75903.0,19.696167000000003,51.4082625
Nowe Mieszkanie Radomsko Brzeźnicka,179000.0,5695.2,Firmowe,3.0,31.43,1,Blok,pierwotny,Radomsko,Łódzkie,January,2022,47643.0,19.4446109,51.0674769
Park Chopina | nowe mieszkania 34-62 m2 | 1-3 pokoje | taras-balkon,6000.0,6000.0,Firmowe,3.0,1.0,1,Blok,pierwotny,Tomaszów Mazowiecki,Łódzkie,January,2022,64893.0,20.0084195,51.5316918
2 pokoje POD KLUCZ ulica Płocka 33,279000.0,9300.0,Firmowe,0.0,30.0,1,Kamienica,pierwotny,Łódź,Łódzkie,January,2022,711332.0,19.456991100000003,51.7687323
"ROI 7,2% - piękna kawalerka  ul Słowiańska - inwestycja Cena 159 000zł",159000.0,9937.5,Firmowe,2.0,16.0,1,Kamienica,pierwotny,Łódź,Łódzkie,January,2022,711332.0,19.456991100000003,51.7687323
"Nowy Apartament 38,64m2 - Strykowska 20 Łódź",320000.0,8281.57,Prywatne,1.0,38.64,1,Apartamentowiec,pierwotny,Łódź,Łódzkie,January,2022,711332.0,19.456991100000003,51.7687323
Kawalerka centrum Nawrot NOWA INWESTYCJA,192000.0,7111.11,Firmowe,1.0,27.0,1,Apartamentowiec,pierwotny,Łódź,Łódzkie,January,2022,711332.0,19.456991100000003,51.7687323
"Sprzedam nowe mieszkanie 26,5 m2 Polonia Residence",250000.0,9259.26,Firmowe,5.0,27.0,1,Kamienica,pierwotny,Łódź,Łódzkie,January,2022,711332.0,19.456991100000003,51.7687323
"Mieszkanie sprzedam w Bochni obok galerii ( garaż ,ogródek , parking )",297000.0,6600.0,Prywatne,0.0,45.0,1,Blok,pierwotny,Bochnia,Małopolskie,January,2022,30219.0,20.430541,49.9693563
"Odkupię partycypację TBS Kraków  ,pokój z kuchnią.",80000.0,2285.71,Prywatne,,,1,,pierwotny,Kraków,Małopolskie,January,2022,762508.0,19.9368564,50.0619474
