,city,voivodeship
0,bielany-wroclawskie,Dolnoslaskie
1,bielawa,Dolnoslaskie
2,bierutow,Dolnoslaskie
3,bogatynia,Dolnoslaskie
4,boguszow-gorce,Dolnoslaskie
5,boleslawiec,Dolnoslaskie
6,bolkow,Dolnoslaskie
7,borowa,Dolnoslaskie
8,brzeg-dolny,Dolnoslaskie
9,bystrzyca-klodzka,Dolnoslaskie
10,chocianow,Dolnoslaskie
11,chojnow,Dolnoslaskie
12,dobroszyce,Dolnoslaskie
13,dobrzykowice,Dolnoslaskie
14,domaslaw,Dolnoslaskie
15,dzierzoniow,Dolnoslaskie
16,dlugoleka,Dolnoslaskie
17,gromadka,Dolnoslaskie
18,gryfow-slaski,Dolnoslaskie
19,gora,Dolnoslaskie
20,glogow,Dolnoslaskie
21,irzadze,Dolnoslaskie
22,jawor,Dolnoslaskie
23,jaworzyna-slaska,Dolnoslaskie
24,jelcz-laskowice,Dolnoslaskie
25,jelenia-gora,Dolnoslaskie
26,jezow-sudecki,Dolnoslaskie
27,kamieniec-wroclawski,Dolnoslaskie
28,kamienna-gora,Dolnoslaskie
29,karpacz,Dolnoslaskie
30,kielczow,Dolnoslaskie
31,kowary,Dolnoslaskie
32,kudowa-zdroj,Dolnoslaskie
33,kunice,Dolnoslaskie
34,katy-wroclawskie,Dolnoslaskie
35,klodzko,Dolnoslaskie
36,legnica,Dolnoslaskie
37,lisowice,Dolnoslaskie
38,luban,Dolnoslaskie
39,lubin,Dolnoslaskie
40,lutynia,Dolnoslaskie
41,lwowek-slaski,Dolnoslaskie
42,ladek-zdroj,Dolnoslaskie
43,michow,Dolnoslaskie
44,milicz,Dolnoslaskie
45,mirkow,Dolnoslaskie
46,mirsk,Dolnoslaskie
47,nowa-ruda,Dolnoslaskie
48,nowogrodziec,Dolnoslaskie
49,obora,Dolnoslaskie
50,oborniki-slaskie,Dolnoslaskie
51,olesnica,Dolnoslaskie
52,olawa,Dolnoslaskie
53,piechowice,Dolnoslaskie
54,pieszyce,Dolnoslaskie
55,pilawa-dolna,Dolnoslaskie
56,polanica-zdroj,Dolnoslaskie
57,polkowice,Dolnoslaskie
58,prochowice,Dolnoslaskie
59,prusice,Dolnoslaskie
60,pszenno,Dolnoslaskie
61,radwanice,Dolnoslaskie
62,rakoszyce,Dolnoslaskie
63,ruszowice,Dolnoslaskie
64,rzeszotary,Dolnoslaskie
65,siechnice,Dolnoslaskie
66,smolec,Dolnoslaskie
67,sobotka,Dolnoslaskie
68,spalice,Dolnoslaskie
69,strzegom,Dolnoslaskie
70,strzelin,Dolnoslaskie
71,sycow,Dolnoslaskie
72,szczawno-zdroj,Dolnoslaskie
73,szczytna,Dolnoslaskie
74,szewce,Dolnoslaskie
75,szklarska-poreba,Dolnoslaskie
76,trzebnica,Dolnoslaskie
77,twardogora,Dolnoslaskie
78,tyniec-maly,Dolnoslaskie
79,walbrzych,Dolnoslaskie
80,wilczyce,Dolnoslaskie
81,wojanow,Dolnoslaskie
82,wojnowice,Dolnoslaskie
83,wolow,Dolnoslaskie
84,wroclaw,Dolnoslaskie
85,wysoka,Dolnoslaskie
86,zawonia,Dolnoslaskie
87,zgorzelec,Dolnoslaskie
88,ziebice,Dolnoslaskie
89,zabkowice-slaskie,Dolnoslaskie
90,zlotoryja,Dolnoslaskie
91,zloty-stok,Dolnoslaskie
92,lagiewniki,Dolnoslaskie
93,scinawa,Dolnoslaskie
94,sroda-slaska,Dolnoslaskie
95,swidnica,Dolnoslaskie
96,swiebodzice,Dolnoslaskie
97,swietoszow,Dolnoslaskie
98,zarow,Dolnoslaskie
99,zmigrod,Dolnoslaskie
100,aleksandrowo,Kujawsko-pomorskie
101,aleksandrow-kujawski,Kujawsko-pomorskie
102,barcin,Kujawsko-pomorskie
103,biale-blota,Kujawsko-pomorskie
104,brodnica,Kujawsko-pomorskie
