,city,voivodeship,Name,Population,Latitude,Longitude
0,bielawa,Dolnoslaskie,Bielawa,31023.0,50.6871117,16.6160879
1,bierutow,Dolnoslaskie,Bierutów,5032.0,51.125273799999995,17.5400351
2,bogatynia,Dolnoslaskie,Bogatynia,18030.0,50.90771470000001,14.9539185
3,boguszow-gorce,Dolnoslaskie,Boguszów-Gorce,15640.0,50.7566795,16.204389499999998
4,boleslawiec,Dolnoslaskie,Bolesławiec,39603.0,51.2630333,15.5651049
5,boleslawiec,Łódzkie,Bolesławiec,39603.0,51.2630333,15.5651049
6,bolkow,Dolnoslaskie,Bolków,4967.0,50.9219695,16.1006519
7,brzeg-dolny,Dolnoslaskie,Brzeg Dolny,12536.0,51.2613682,16.7228123
8,bystrzyca-klodzka,Dolnoslaskie,Bystrzyca Kłodzka,10476.0,50.2968684,16.652017
9,chocianow,Dolnoslaskie,Chocianów,8194.0,51.41683270000001,15.8986889
10,chojnow,Dolnoslaskie,Chojnów,14071.0,51.2722894,15.933524100000001
11,dzierzoniow,Dolnoslaskie,Dzierżoniów,34428.0,50.72835429999999,16.6506207
12,gryfow-slaski,Dolnoslaskie,Gryfów Śląski,6902.0,51.0281455,15.414505100000001
13,gora,Dolnoslaskie,Góra,12448.0,51.6681499,16.5393277
14,glogow,Dolnoslaskie,Głogów,68997.0,51.6636791,16.093556699999997
15,jawor,Dolnoslaskie,Jawor,22758.0,51.0504653,16.1932008
16,jelcz-laskowice,Dolnoslaskie,Jelcz-Laskowice,15828.0,51.0398306,17.3499638
17,jelenia-gora,Dolnoslaskie,Jelenia Góra,84306.0,50.9031028,15.734430599999998
18,kamienna-gora,Dolnoslaskie,Kamienna Góra,20014.0,50.783736100000006,16.0336631
19,karpacz,Dolnoslaskie,Karpacz,4570.0,50.7747485,15.754203500000001
20,kowary,Dolnoslaskie,Kowary,10813.0,50.7937534,15.8338236
21,kudowa-zdroj,Dolnoslaskie,Kudowa-Zdrój,10241.0,50.4420034,16.2416299
