index,voivodeship,links
0,Dolnoslaskie,https://www.olx.pl/dolnoslaskie/sitemap/regions/
1,Kujawsko-pomorskie,https://www.olx.pl/kujawsko-pomorskie/sitemap/regions/
2,Lubelskie,https://www.olx.pl/lubelskie/sitemap/regions/
3,Lubuskie,https://www.olx.pl/lubuskie/sitemap/regions/
4,Łódzkie,https://www.olx.pl/lodzkie/sitemap/regions/
5,Małopolskie,https://www.olx.pl/malopolskie/sitemap/regions/
6,Mazowieckie,https://www.olx.pl/mazowieckie/sitemap/regions/
7,Opolskie,https://www.olx.pl/opolskie/sitemap/regions/
8,Podkarpackie,https://www.olx.pl/podkarpackie/sitemap/regions/
9,Podlaskie,https://www.olx.pl/podlaskie/sitemap/regions/
10,Pomorskie,https://www.olx.pl/pomorskie/sitemap/regions/
11,Śląskie,https://www.olx.pl/slaskie/sitemap/regions/
12,Świętokrzyskie,https://www.olx.pl/swietokrzyskie/sitemap/regions/
13,Warmińsko-mazurskie,https://www.olx.pl/warminsko-mazurskie/sitemap/regions/
14,Świętokrzyskie,https://www.olx.pl/swietokrzyskie/sitemap/regions/
15,Wielkopolskie,https://www.olx.pl/wielkopolskie/sitemap/regions/
16,Zachodniopomorskie,https://www.olx.pl/zachodniopomorskie/sitemap/regions/
